# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# The nonparametric p-values were calculated using 999 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
 vs. 	Rarely (few times/month) vs. Rarely (few times/month)	-0.528801492358	0.59695216124	1	0.606	1.000
 vs. 	Never vs. Never	-1.11529116877	0.264769560787	1	0.259	1.000
 vs. 	Daily vs. Daily	0.00573096091476	0.995427641268	1	0.993	1.000
 vs. 	Occasionally (1-2 times/week) vs. Occasionally (1-2 times/week)	-0.175820219389	0.860438327541	1	0.853	1.000
 vs. 	Regularly (3-5 times/week) vs. Regularly (3-5 times/week)	-0.309675016849	0.756814115498	1	0.744	1.000
 vs. 	 vs. Rarely (few times/month)	-0.271288210855	0.78628432692	1	0.776	1.000
 vs. 	 vs. Never	-0.671340031473	0.502467967911	1	0.494	1.000
 vs. 	 vs. Daily	0.0740139843523	0.941051545278	1	0.943	1.000
 vs. 	 vs. Occasionally (1-2 times/week)	0.0498302415598	0.960279582002	1	0.951	1.000
 vs. 	 vs. Regularly (3-5 times/week)	-0.0867765440011	0.93088842944	1	0.923	1.000
